station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_1d4ddbd2f7e280d34542,132462,Penylan Library Car Park - Cardiff,"Penylan Library Car Park, Cardiff",CF23 5HW,51.49677,-3.1645,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132462,2019-10-02T08:58:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_86396a3ef80877186baa,285931,Tewkesbury Place,"Tewkesbury Place, Cardiff",CF24 4QF,51.50026,-3.178055,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285931,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_80b9188bc22f7f019c5e,101686,Q-Park Cardiff Bay,"Q-Park Cardiff Bay, Pierhead Street, Cardiff",CF10 4PH,51.465801,-3.1625,BP Pulse (UK),Open Charge Map Contributors,operational,1.0,3.0,50.0,public,£0.79/kWh; other tariffs available,https://openchargemap.org/site/poi/details/101686,2023-08-23T10:22:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_166a187eab7cb6059083,260025,Bute Crescent,"Bute Crescent, Cardiff",CF10 5AN,51.464247,-3.1649849,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260025,2024-08-13T17:03:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_aa4c211c5a940b4c1b62,258892,IKEA Cardiff,"Ferry Road, Grangetown, Cardiff",CF11 0JR,51.462816,-3.188446,Electric Highway (UK),Open Charge Map Contributors,operational,2.0,3.0,50.0,public,DC: £0.79/kWh,https://openchargemap.org/site/poi/details/258892,2023-11-30T09:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_18512e9f2cb48402a38f,132460,Stallcourt Avenue - Cardiff,"Stallcourt Avenue, Cardiff",CF23 5AN,51.4946,-3.15485,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132460,2019-10-02T08:53:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_70f3cdfed60f400050fd,132461,Waterloo Road - Cardiff,"Waterloo Road, Cardiff",CF23 5DX,51.49655,-3.15663,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132461,2019-10-02T08:54:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_775500559e0cad784837,9814,Wessex Garages Cardiff,"Hadfield Road, Cardiff, Wales",CF11 8AQ,51.4665486,-3.20170359999997,(Business Owner at Location),Open Charge Map Contributors,unknown,3.0,4.0,50.0,private,Free,https://openchargemap.org/site/poi/details/9814,2018-06-14T21:28:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d6e6a24b96376ba9af96,260002,Britannia Quay,"Britannia Quay, Cardiff",CF10 4PB,51.464363,-3.160242,Osprey Charging,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260002,2024-08-29T15:09:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_f886fc76be7c3a77022f,251500,"Bettws Lane Car Park, Newport","Bettws Lane Car Park, Cardiff",CF10 5SG,51.461555,-3.168205,Connected Kerb,UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/251500,2023-05-04T08:41:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_096a150517372b2a668d,94121,Wessex Garages Cardiff,"289 Penarth Road, Cardiff",CF11 8AQ,51.468083,-3.206283,Nissan UK Dealer Network,Open Charge Map Contributors,operational,2.0,2.0,7.0,public,1,https://openchargemap.org/site/poi/details/94121,2024-11-15T14:05:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d178685f83cabc1f02c7,127599,Voco St David's Hotel,Voco St David's Hotel,cf10 5sd,51.460517,-3.167412,Tesla (Tesla-only charging),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,,https://openchargemap.org/site/poi/details/127599,2019-06-05T12:01:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_4d49c406033a4ff3973f,285780,Star Hub,"Star Hub Car Park, Cardiff",CF24 2SJ,51.484894,-3.143337,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285780,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_84a7701983c186cbe3af,210279,Tesco Extra-Cardiff,"Excelsior Estate, Excelsior Road, Cardiff",CF14 3AT,51.49791839,-3.2071764,POD Point (UK),Open Charge Map Contributors,operational,4.0,6.0,50.0,public,£0.44/kWh,https://openchargemap.org/site/poi/details/210279,2023-10-09T17:01:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_f0782529b5ad354d2a05,260691,University of Wales Hospital,"Heath Road, Cardiff",CF14 4XW,51.50591,-3.18741,POD Point (UK),Open Charge Map Contributors,operational,12.0,12.0,7.0,public,£0.272/kWh,https://openchargemap.org/site/poi/details/260691,2024-07-09T13:14:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_5ea17c642133289def43,132457,Victoria Park Road - Cardiff,"Victoria Park Road, Cardiff",CF5 1EZ,51.48322,-3.21936,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132457,2019-10-02T08:35:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_63004a6b9ce8784bad0f,132458,Butleigh Avenue - Cardiff,"Butleigh Avenue, Cardiff",CF5 1AP,51.48595,-3.22232,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132458,2019-10-02T08:37:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
